date,factor,ic,rank_ic
2021-01-12,volatility_5,-0.5301285682573873,-0.49473684210526314
2021-01-12,volatility_10,-0.4511169132851754,-0.42940929451287796
2021-01-12,volatility_20,,
2021-01-12,volatility_60,,
2021-01-12,amplitude_5,-0.36110178098161905,-0.3503499440089586
2021-01-12,amplitude_10,-0.36076879649894356,-0.35685890257558783
2021-01-12,amplitude_20,,
2021-01-12,volume_mean_5,0.09349961549228294,0.10414333706606943
2021-01-12,volume_mean_20,,
2021-01-12,volume_mean_60,,
2021-01-12,amount_mean_5,-0.39122013203315603,-0.41349384098544234
2021-01-12,amount_mean_20,,
2021-01-12,amount_mean_60,,
2021-01-12,turnover_mean_5,-0.23487404536829187,-0.32632978723404255
2021-01-12,turnover_mean_20,,
2021-01-12,turnover_mean_60,,
2021-01-12,corr_ret_volume_10,0.03390912290525336,-0.027337625979843228
2021-01-12,corr_ret_volume_20,,
2021-01-12,corr_close_volume_20,,
2021-01-12,corr_ret_amount_20,,
2021-01-12,volume_chg_5_20,,
2021-01-12,amount_chg_5_20,,
2021-01-12,turnover_chg_5_20,,
2021-01-12,close_to_high_20,,
2021-01-12,close_to_low_20,,
2021-01-12,close_position_20,,
2021-01-12,close_position_60,,
2021-01-12,ret_20_div_vol_20,,
2021-01-12,ret_60_div_vol_60,,
2021-01-13,ret_1,-0.26122923388047636,-0.20029398395355588
2021-01-13,ret_3,-0.011076603517857626,-0.09441119865798739
2021-01-13,ret_5,-0.05526915303895215,-0.07966515718511667
2021-01-13,ret_10,,
2021-01-13,ret_20,,
2021-01-13,ret_60,,
2021-01-13,ret_120,,
2021-01-13,volatility_5,-0.20999368005809255,-0.23470866156104597
2021-01-13,volatility_10,-0.11145751656318816,-0.15802624681592697
2021-01-13,volatility_20,,
2021-01-13,volatility_60,,
2021-01-13,amplitude_5,-0.1097682733888475,-0.14975328093159596
2021-01-13,amplitude_10,-0.04110324677389965,-0.10051443575708778
2021-01-13,amplitude_20,,
2021-01-13,volume_mean_5,-0.07154219530074424,-0.010498687670470833
2021-01-13,volume_mean_20,,
2021-01-13,volume_mean_60,,
2021-01-13,amount_mean_5,-0.1742583991970905,-0.14732458451716038
2021-01-13,amount_mean_20,,
2021-01-13,amount_mean_60,,
2021-01-13,turnover_mean_5,0.025845802245942212,-0.02038845145605436
2021-01-13,turnover_mean_20,,
2021-01-13,turnover_mean_60,,
2021-01-13,corr_ret_volume_10,-0.08450258216055213,-0.1430131234471537
2021-01-13,corr_ret_volume_20,,
2021-01-13,corr_close_volume_20,,
2021-01-13,corr_ret_amount_20,,
2021-01-13,volume_chg_5_20,,
2021-01-13,amount_chg_5_20,,
2021-01-13,turnover_chg_5_20,,
2021-01-13,close_to_high_20,,
2021-01-13,close_to_low_20,,
2021-01-13,close_position_20,,
2021-01-13,close_position_60,,
2021-01-13,ret_20_div_vol_20,,
2021-01-13,ret_60_div_vol_60,,
2021-01-14,ret_1,-0.2349883255506066,-0.24738241881298992
2021-01-14,ret_3,-0.182558453207432,-0.19955207166853303
2021-01-14,ret_5,-0.12522630922705075,-0.13463045912653976
2021-01-14,ret_10,,
2021-01-14,ret_20,,
2021-01-14,ret_60,,
2021-01-14,ret_120,,
2021-01-14,volatility_5,0.17125601311962693,0.14876819708846586
2021-01-14,volatility_10,0.23536660156582015,0.2309070548712206
2021-01-14,volatility_20,,
2021-01-14,volatility_60,,
2021-01-14,amplitude_5,0.2036493244148141,0.11634938409854423
2021-01-14,amplitude_10,0.26997693688976854,0.22740761478163496
2021-01-14,amplitude_20,,
2021-01-14,volume_mean_5,-0.12484425083668689,-0.07621780515117582
2021-01-14,volume_mean_20,,
2021-01-14,volume_mean_60,,
2021-01-14,amount_mean_5,0.13310138491210807,0.1668533034714446
2021-01-14,amount_mean_20,,
2021-01-14,amount_mean_60,,
2021-01-14,turnover_mean_5,0.3132607742181775,0.28965565509518476
2021-01-14,turnover_mean_20,,
2021-01-14,turnover_mean_60,,
2021-01-14,corr_ret_volume_10,-0.12747116940179729,-0.17029675251959686
2021-01-14,corr_ret_volume_20,,
2021-01-14,corr_close_volume_20,,
2021-01-14,corr_ret_amount_20,,
2021-01-14,volume_chg_5_20,,
2021-01-14,amount_chg_5_20,,
2021-01-14,turnover_chg_5_20,,
2021-01-14,close_to_high_20,,
2021-01-14,close_to_low_20,,
2021-01-14,close_position_20,,
2021-01-14,close_position_60,,
2021-01-14,ret_20_div_vol_20,,
2021-01-14,ret_60_div_vol_60,,
2021-01-15,ret_1,-0.2590085647918024,-0.09669991257015002
2021-01-15,ret_3,-0.4146413253451174,-0.44872091016103705
2021-01-15,ret_5,-0.24273346713442587,-0.3171192609182531
2021-01-15,ret_10,,
2021-01-15,ret_20,,
2021-01-15,ret_60,,
2021-01-15,ret_120,,
2021-01-15,volatility_5,0.41485456984861085,0.37298432250839864
2021-01-15,volatility_10,0.43421077713456785,0.4404115341545352
2021-01-15,volatility_20,,
2021-01-15,volatility_60,,
2021-01-15,amplitude_5,0.3638588232318704,0.2837066069428892
2021-01-15,amplitude_10,0.37255362403028036,0.33297988864946554
2021-01-15,amplitude_20,0.37255362403028036,0.33297988864946554
2021-01-15,volume_mean_5,-0.07716390112923473,-0.16273796192609183
2021-01-15,volume_mean_20,-0.08600219639420591,-0.16212206047032474
2021-01-15,volume_mean_60,,
2021-01-15,amount_mean_5,0.2250894174157087,0.31559350503919376
2021-01-15,amount_mean_20,0.22658927766262926,0.33019316909294516
2021-01-15,amount_mean_60,,
2021-01-15,turnover_mean_5,0.35774987682088016,0.30655095184770437
2021-01-15,turnover_mean_20,0.31340863262244917,0.33442049272116464
2021-01-15,turnover_mean_60,,
2021-01-15,corr_ret_volume_10,-0.32657592829347315,-0.2388437849944009
2021-01-15,corr_ret_volume_20,,
2021-01-15,corr_close_volume_20,-0.2940625374518796,-0.3193029115341545
2021-01-15,corr_ret_amount_20,,
2021-01-15,volume_chg_5_20,0.0014610937063597486,-0.10643896976483763
2021-01-15,amount_chg_5_20,0.012876067361440863,-0.10071388577827547
2021-01-15,turnover_chg_5_20,-0.010229922624787776,-0.10754479283314669
2021-01-15,close_to_high_20,-0.4340822218039043,-0.41391377379619265
2021-01-15,close_to_low_20,0.19814837844741978,0.08591825307950728
2021-01-15,close_position_20,-0.2084840072537414,-0.2937849944008959
2021-01-15,close_position_60,,
2021-01-15,ret_20_div_vol_20,,
2021-01-15,ret_60_div_vol_60,,
2021-01-18,ret_1,0.155919843670899,0.05409699524545482
2021-01-18,ret_3,-0.2367529918424615,-0.2979045059713186
2021-01-18,ret_5,-0.274849572834742,-0.3750244967664268
2021-01-18,ret_10,-0.017470498344745566,-0.10352888479296458
2021-01-18,ret_20,,
2021-01-18,ret_60,,
2021-01-18,ret_120,,
2021-01-18,volatility_5,0.33573224425385345,0.23902910177456232
2021-01-18,volatility_10,0.3796518474381881,0.30011618306667937
2021-01-18,volatility_20,0.3796518474381881,0.30011618306667937
2021-01-18,volatility_60,,
2021-01-18,amplitude_5,0.31616165499488486,0.21316087853262095
2021-01-18,amplitude_10,0.1994818457033871,0.1617049570525327
