date,group,forward_return
2021-04-16,1,-0.012664451610104339
2021-04-16,2,0.023029912221206428
2021-04-16,3,0.01210084285321736
2021-04-16,4,0.03442407955974987
2021-04-16,5,0.05234309646021479
2021-04-19,1,-0.027905946644449856
2021-04-19,2,-0.011546373088957299
2021-04-19,3,0.003558203911842858
2021-04-19,4,-0.0004981790363653982
2021-04-19,5,0.00997785161885206
2021-04-20,1,-0.01525296091795103
2021-04-20,2,-0.017431512107878012
2021-04-20,3,-0.003797150171473605
2021-04-20,4,-0.0031026092390630724
2021-04-20,5,0.010015000547288455
2021-04-21,1,-0.0171689843781415
2021-04-21,2,-0.015161993779432755
2021-04-21,3,-0.008865934761975567
2021-04-21,4,0.010805197969837676
2021-04-21,5,0.01265502815138803
2021-04-22,1,0.0034712867728382613
2021-04-22,2,0.0012053730048517835
2021-04-22,3,0.01597245111002725
2021-04-22,4,0.014574483371315944
2021-04-22,5,0.018320869851101186
2021-04-23,1,-0.0036094069633682
2021-04-23,2,-0.013977776876727474
2021-04-23,3,0.004779049982377799
2021-04-23,4,-0.022011953946185405
2021-04-23,5,0.008380152457769971
2021-04-26,1,0.014090672901105626
2021-04-26,2,0.00110493850684338
2021-04-26,3,0.013718962003615165
2021-04-26,4,-0.006359079309333514
2021-04-26,5,0.007609307388921194
2021-04-27,1,0.016812102900242053
2021-04-27,2,0.007219168588884728
2021-04-27,3,0.01858844629127802
2021-04-27,4,-0.018723443375055493
2021-04-27,5,0.012416604087745808
2021-04-28,1,0.012543230868770364
2021-04-28,2,-0.005159016350704733
2021-04-28,3,0.0031638844154699853
2021-04-28,4,-0.054283875448672504
2021-04-28,5,0.0031092846403722833
2021-04-29,1,0.008840317533222798
2021-04-29,2,-0.015309835322919395
2021-04-29,3,-0.006362513510612721
2021-04-29,4,-0.04625210191550319
2021-04-29,5,-4.935577042736465e-06
2021-04-30,1,0.018891722566638538
2021-04-30,2,-0.005707657640742571
2021-04-30,3,-0.006124680971201508
2021-04-30,4,-0.03531486832209481
2021-04-30,5,-0.009721251870943082
2021-05-06,1,0.012466276810058338
2021-05-06,2,-0.007078896031878401
2021-05-06,3,-0.016338661651021782
2021-05-06,4,-0.013253354421059354
2021-05-06,5,-0.01379760494281964
2021-05-07,1,0.018477102127738856
2021-05-07,2,0.014252491869372122
2021-05-07,3,0.01327608408442508
2021-05-07,4,0.035183305460884405
2021-05-07,5,0.007087333041198527
2021-05-10,1,0.020613734112633668
2021-05-10,2,0.025229499825868744
2021-05-10,3,0.025072874492564838
2021-05-10,4,0.05713808033566554
2021-05-10,5,0.0335479061476588
2021-05-11,1,0.014258218009846238
2021-05-11,2,0.01788926306475871
2021-05-11,3,0.02844995842749555
2021-05-11,4,0.04677478641458819
2021-05-11,5,0.04116615978324761
2021-05-12,1,0.004178983177253077
2021-05-12,2,0.014801281369468063
2021-05-12,3,0.02377535031372919
2021-05-12,4,0.052490271428974694
2021-05-12,5,0.04585129953050409
2021-05-13,1,0.0022564831216676197
2021-05-13,2,0.017132113202393964
2021-05-13,3,0.028066026009685593
2021-05-13,4,0.06036861064575436
2021-05-13,5,0.04426187549483576
2021-05-14,1,-0.009620387745892526
2021-05-14,2,-0.009825702326184224
2021-05-14,3,-0.009909575636294384
2021-05-14,4,0.019071176758351578
2021-05-14,5,0.009783070573679827
2021-05-17,1,-0.00829074047265715
2021-05-17,2,-0.015911880449054887
2021-05-17,3,-0.012604697324811532
2021-05-17,4,0.011430472858265081
2021-05-17,5,-0.012004905694048048
2021-05-18,1,0.00394652856827762
2021-05-18,2,0.01091823527249444
2021-05-18,3,0.020043594379762414
2021-05-18,4,0.029196983432820057
2021-05-18,5,0.03273941971327757
2021-05-19,1,0.010929068517658595
2021-05-19,2,0.02039320822046113
2021-05-19,3,0.033898198109375506
2021-05-19,4,0.024010501936779314
2021-05-19,5,0.03265882739560376
2021-05-20,1,0.014542418998967828
2021-05-20,2,0.016654666409553768
2021-05-20,3,0.026631303490202825
2021-05-20,4,0.027907504210876885
2021-05-20,5,0.04748590843100573
2021-05-21,1,0.014396258057319542
2021-05-21,2,0.023628964757157228
2021-05-21,3,0.04131279363190016
2021-05-21,4,0.04154986278524876
2021-05-21,5,0.05867457439700461
2021-05-24,1,0.008656975801091342
2021-05-24,2,0.01778773154585032
2021-05-24,3,0.03377114317883695
2021-05-24,4,0.029757676702676723
2021-05-24,5,0.06609827678527197
2021-05-25,1,-0.004411572898762332
2021-05-25,2,-0.008601614148634765
2021-05-25,3,0.0018929503415249648
2021-05-25,4,0.010965688344944812
2021-05-25,5,0.03181066754749786
2021-05-26,1,-0.0019428458487009224
2021-05-26,2,-0.01193957589957221
2021-05-26,3,-0.010532358956126147
2021-05-26,4,-0.000991803094410183
2021-05-26,5,0.010702392696949106
2021-05-27,1,-0.007001811407286513
2021-05-27,2,-0.018485317104472255
2021-05-27,3,-0.020684358842271353
2021-05-27,4,-0.016632022822656762
2021-05-27,5,-0.027677306487063603
2021-05-28,1,-0.0022506537686777474
2021-05-28,2,-0.008486734787983978
2021-05-28,3,-0.009435223589079111
2021-05-28,4,-0.007244612514269152
2021-05-28,5,-0.01444326097430734
2021-05-31,1,-0.0016737841416409006
2021-05-31,2,-0.004239846293463762
2021-05-31,3,-0.005530455812960616
2021-05-31,4,-0.015111222202035675
2021-05-31,5,-0.01207386821445252
2021-06-01,1,-0.0005169092977658101
2021-06-01,2,-0.008431403272017343
2021-06-01,3,-0.01309719971896004
2021-06-01,4,-0.024763552347787404
2021-06-01,5,-0.02196720465813774
2021-06-02,1,0.002517014854486673
2021-06-02,2,-0.009456881518571141
2021-06-02,3,-0.001424577227729607
2021-06-02,4,0.006199806268112568
2021-06-02,5,-0.007975381917302375
2021-06-03,1,0.0036327485722651024
2021-06-03,2,-0.003393729325180894
2021-06-03,3,0.006165292671715108
2021-06-03,4,0.028871035957889816
2021-06-03,5,0.029001022523965303
2021-06-04,1,0.0016692357250569442
2021-06-04,2,-0.01769513412515581
2021-06-04,3,-0.019355785435404848
2021-06-04,4,0.004963626901640586
2021-06-04,5,-0.012404123352364732
2021-06-07,1,-0.002324236424025414
2021-06-07,2,-0.026463932282903436
2021-06-07,3,-0.031203653165561226
2021-06-07,4,-0.006699815909555607
2021-06-07,5,-0.030558720635392975
2021-06-08,1,-0.0010924908690558113
2021-06-08,2,-0.024954563869844924
2021-06-08,3,-0.02545144393074548
2021-06-08,4,-0.024316421752096713
2021-06-08,5,-0.04977990399312695
2021-06-09,1,-0.010478299311020008
2021-06-09,2,-0.03147563347075043
2021-06-09,3,-0.03321071013387385
2021-06-09,4,-0.023364543021180694
2021-06-09,5,-0.029694729284438236
2021-06-10,1,-0.01513295121802755
2021-06-10,2,-0.03370823583901352
2021-06-10,3,-0.05288202643442479
2021-06-10,4,-0.035435711952608806
2021-06-10,5,-0.02067546509803492
2021-06-11,1,-0.017596072628332893
2021-06-11,2,-0.029946266250972187
2021-06-11,3,-0.04244759167076653
2021-06-11,4,-0.011577017029504194
2021-06-11,5,0.012192287154822777
2021-06-15,1,-0.00594756785250302
2021-06-15,2,-0.00764142272235316
2021-06-15,3,-0.024683749874771725
2021-06-15,4,-1.540327264978734e-05
2021-06-15,5,0.03097119148733666
2021-06-16,1,-0.008766505422791337
2021-06-16,2,0.0012964629473480112
2021-06-16,3,-0.019367180878546157
2021-06-16,4,0.03364288656174388
2021-06-16,5,0.07966423272388504
2021-06-17,1,0.002590768130227131
2021-06-17,2,0.013820550725782447
2021-06-17,3,-0.005045398920836225
2021-06-17,4,0.03032936961438303
2021-06-17,5,0.057508524814071336
2021-06-18,1,0.018308730263405154
2021-06-18,2,0.02067579621484999
2021-06-18,3,0.02514960136179889
2021-06-18,4,0.0588997419033986
2021-06-18,5,0.054431705314109305
2021-06-21,1,0.011414937655799847
2021-06-21,2,0.013612439934651882
2021-06-21,3,0.020050660695609592
2021-06-21,4,0.039248949813479005
2021-06-21,5,0.049336235808151906
2021-06-22,1,-0.0017098072226772994
2021-06-22,2,-0.0052580360302447665
2021-06-22,3,0.007373141323405324
2021-06-22,4,0.031576906723071584
2021-06-22,5,0.040849708083723874
2021-06-23,1,-0.003648248647557937
2021-06-23,2,-0.003137401855660138
2021-06-23,3,0.007598463498909715
2021-06-23,4,0.030494229263461972
2021-06-23,5,0.052509059454179205
2021-06-24,1,-0.006210247707701686
2021-06-24,2,-0.014557794203921892
2021-06-24,3,0.001991472186382345
2021-06-24,4,0.004845251275600187
2021-06-24,5,0.008337194665713997
2021-06-25,1,-0.027184017388521747
2021-06-25,2,-0.032353568944133014
2021-06-25,3,-0.033870290149363075
2021-06-25,4,-0.046092109521385684
2021-06-25,5,-0.014460293836019737
2021-06-28,1,-0.017706260213518298
2021-06-28,2,-0.016656508608144868
2021-06-28,3,-0.026383853964650858
2021-06-28,4,-0.031359203048014005
2021-06-28,5,-0.0014852591473153022
2021-06-29,1,-0.008874281263089761
2021-06-29,2,-0.001117354335257135
2021-06-29,3,-0.013982015415669872
2021-06-29,4,-0.03181711554813862
2021-06-29,5,-0.01807717314820113
2021-06-30,1,-0.012175245040754895
2021-06-30,2,0.001874939037774178
2021-06-30,3,-0.01610886370509039
2021-06-30,4,-0.022375644888346268
2021-06-30,5,-0.0047890468422615105
2021-07-01,1,-0.020481027759101923
2021-07-01,2,-0.01636863704512809
2021-07-01,3,-0.0364537531083058
2021-07-01,4,-0.009817312748461128
2021-07-01,5,0.04185438781351138
2021-07-02,1,-0.003561745118742543
2021-07-02,2,-0.0028284053469210344
2021-07-02,3,-0.002419968068421246
2021-07-02,4,0.04271922802035913
2021-07-02,5,0.08487685964734916
2021-07-05,1,-0.015587613594941508
2021-07-05,2,-0.009326457484438722
2021-07-05,3,-0.0019987299923460186
2021-07-05,4,0.05342231027894629
2021-07-05,5,0.06770213319929726
2021-07-06,1,-0.012087801687114513
2021-07-06,2,-0.008822596610339625
2021-07-06,3,-0.001521019719841088
2021-07-06,4,0.07132451027860356
2021-07-06,5,0.08828563237744831
2021-07-07,1,-0.021590700023457893
2021-07-07,2,-0.024466583319244298
2021-07-07,3,-0.015604609175593387
2021-07-07,4,0.019329195709756043
2021-07-07,5,0.01858925732326855
2021-07-08,1,-0.006084021572716941
2021-07-08,2,0.012323969320650186
2021-07-08,3,0.019215481074733802
2021-07-08,4,0.028924763149941864
2021-07-08,5,0.04242259473483191
2021-07-09,1,-0.014384984031131942
2021-07-09,2,0.002918213254204657
2021-07-09,3,0.005967383225186792
2021-07-09,4,0.0001318894634758299
2021-07-09,5,0.004839200962990304
2021-07-12,1,-0.010239683425148593
2021-07-12,2,0.00013840770461198985
2021-07-12,3,0.006288923584829114
2021-07-12,4,-0.013266770081156941
2021-07-12,5,-0.011540787026423874
2021-07-13,1,-0.013220415167276327
2021-07-13,2,-0.0008024507315408789
2021-07-13,3,0.0005299291752061236
2021-07-13,4,-0.005546443540446036
2021-07-13,5,-0.0037031204440825206
2021-07-14,1,-0.007413394111915278
2021-07-14,2,0.0020844141592558183
2021-07-14,3,0.00561754438445011
2021-07-14,4,0.01527003064239049
2021-07-14,5,0.06555470104197028
2021-07-15,1,-0.005720997248310095
2021-07-15,2,-0.004873464593607724
2021-07-15,3,-0.0026006759322175074
2021-07-15,4,0.0033913230755269956
2021-07-15,5,0.05858127297082742
2021-07-16,1,-0.002010274415215918
2021-07-16,2,-0.002252778797060598
2021-07-16,3,-0.006569780751588071
2021-07-16,4,0.010712011500717591
2021-07-16,5,0.04297038812779001
2021-07-19,1,-0.008938295160603033
2021-07-19,2,-0.016198426148899103
2021-07-19,3,-0.04280716326719497
2021-07-19,4,-0.01207427211916543
2021-07-19,5,0.04153886774557025
2021-07-20,1,-0.027463583819422304
2021-07-20,2,-0.05215890535584624
2021-07-20,3,-0.0812862554399138
2021-07-20,4,-0.06345121966552175
2021-07-20,5,-0.011790221652343348
2021-07-21,1,-0.017229637572019223
2021-07-21,2,-0.03902406823797934
2021-07-21,3,-0.062381158097522406
2021-07-21,4,-0.04671652936660113
2021-07-21,5,-0.03945595863556738
2021-07-22,1,-0.03468350999002041
2021-07-22,2,-0.05472295936572654
2021-07-22,3,-0.08754244172270861
2021-07-22,4,-0.05152265335715367
2021-07-22,5,-0.024194156219689355
2021-07-23,1,-0.033450343301106966
2021-07-23,2,-0.05436762562089624
2021-07-23,3,-0.09756584970854548
2021-07-23,4,-0.057488931561465215
2021-07-23,5,0.01980114673486822
2021-07-26,1,-0.013575117301778832
2021-07-26,2,-0.021552489748815098
2021-07-26,3,-0.037766617258435865
2021-07-26,4,0.020533746671183906
2021-07-26,5,0.029562807408769598
2021-07-27,1,0.005486602502746152
2021-07-27,2,0.014214843410924072
2021-07-27,3,0.01029465870217091
2021-07-27,4,0.06813608134319687
2021-07-27,5,0.04933736976260735
2021-07-28,1,-0.006490123591712577
2021-07-28,2,-0.0008686270207643833
2021-07-28,3,-0.009373824013888796
2021-07-28,4,0.05650624763566447
2021-07-28,5,0.0724767593063917
2021-07-29,1,0.0037958797415894195
2021-07-29,2,0.005660628879555529
2021-07-29,3,0.013949704671317602
2021-07-29,4,0.053206014705180986
2021-07-29,5,0.055555886557406946
2021-07-30,1,-0.0005005821067790073
2021-07-30,2,0.0077773132776637974
2021-07-30,3,0.029269036305322745
2021-07-30,4,0.04880639549300725
2021-07-30,5,0.018776202339597065
2021-08-02,1,0.004921317278477749
2021-08-02,2,0.012545355530147871
2021-08-02,3,0.0387552882332651
2021-08-02,4,0.020053174119394643
2021-08-02,5,-0.0020971576587401545
2021-08-03,1,0.00619454814480368
2021-08-03,2,0.027449023324195587
2021-08-03,3,0.04845761424344956
2021-08-03,4,0.019686999165082583
2021-08-03,5,0.027324221916922846
2021-08-04,1,0.01650233972655698
2021-08-04,2,0.043622677532481446
2021-08-04,3,0.05287832065546373
2021-08-04,4,-0.0010157915610424667
2021-08-04,5,-0.014801008443191543
2021-08-05,1,0.01176924840109798
2021-08-05,2,0.0426250094921601
2021-08-05,3,0.04745034771254555
2021-08-05,4,-0.015223281481219845
2021-08-05,5,-0.016670889368306047
2021-08-06,1,0.017121204236031706
2021-08-06,2,0.0427306883965327
2021-08-06,3,0.05541376035350684
2021-08-06,4,0.005632652294544548
2021-08-06,5,-0.021996825156148248
2021-08-09,1,0.006539138675973166
2021-08-09,2,0.018917286238022808
2021-08-09,3,0.02640177141510961
2021-08-09,4,-0.013556330066853738
2021-08-09,5,-0.020049613342316985
2021-08-10,1,-0.0036445443482369445
2021-08-10,2,-0.006422681861924301
2021-08-10,3,-0.003328543968002377
2021-08-10,4,-0.03772321311439204
2021-08-10,5,-0.04020174607400616
2021-08-11,1,0.004681056159215835
2021-08-11,2,0.011513400106529084
2021-08-11,3,0.01492008287663547
2021-08-11,4,-0.019726233804727822
2021-08-11,5,-0.012445742047189056
2021-08-12,1,0.0010914779022809628
2021-08-12,2,0.006168442717757329
2021-08-12,3,-0.007447679311009086
2021-08-12,4,-0.019769191267528297
2021-08-12,5,-0.024822968008372127
2021-08-13,1,0.0005688826319494745
2021-08-13,2,0.0014668078511306483
2021-08-13,3,-0.01652849517354513
2021-08-13,4,-0.03502088966960387
2021-08-13,5,-0.0023174562645194604
2021-08-16,1,-0.00031672137967099777
2021-08-16,2,-0.0006116038525357979
2021-08-16,3,-0.018428919607287046
2021-08-16,4,-0.016303328448112827
2021-08-16,5,0.022662541573936077
2021-08-17,1,0.00841165545544687
2021-08-17,2,0.022328083883875374
2021-08-17,3,-0.002998225960972054
2021-08-17,4,0.011233441806132371
2021-08-17,5,0.05895212658847896
2021-08-18,1,-0.004175481285670873
2021-08-18,2,0.0035532304439942542
2021-08-18,3,-0.033425288239219364
2021-08-18,4,0.01333653544470251
2021-08-18,5,0.047196194073954666
2021-08-19,1,-0.0007186474595937076
2021-08-19,2,0.00376722333627999
2021-08-19,3,-0.01698571029435453
2021-08-19,4,0.00907489864025322
